LGL_NM,Total_ITM_TOT_AM,Total_QUANTITY,Count_PURCHASE_ORDER
SCHWEITZER ENGINEERING LABORATORIES INC,14600.0,2.0,1
Wholesale Electric Caribe Inc.,14558.0,274.0,4
AUSTIN TOOL INC,14360.36,3.0,2
"KNIGHTEN MACHINE & SERVICE, INC.",14217.6,3.0,1
SOUTHERN TIRE MART LLC,14215.92,11.0,10
SAFETY SUPPLY INC,14187.4,0.0,6
JOHNSON HAULING,14134.96,0.0,1
ZONES INC,14088.880000000001,8.0,4
CONSOLIDATED ELECTRICAL DISTRIBUTORS INC,14060.0,1010.0,4
Royal Switchgear Manufacturing Co,13900.0,2.0,1
HCOP LLC,13667.220000000001,660.67,19
COMMERCIAL SECURITY INTEGRATION INC,13652.06,0.0,3
CYCLES ETC,13643.75,1643.0,7
KW INDUSTRIES INC,13620.0,9.0,2
Alpha Data Corporation,13528.28,4.0,1
Helena Chemical Company,13500.6,0.0,4
"GTS Technology Solutions, Inc.",13364.0,2.0,1
LANDSCAPE FORMS INC,13340.0,785.0,4
EnvironX Solutions Inc.,13236.0,868.0,2
KINLOCH EQUIPMENT & SUPPLY INC,13170.0,1.0,1
The Fiber Optic Marketplace LLC,13098.68,1.0,1
FURNITURE MARKETING GROUP INC,13084.03,2.0,10
CLEAVELAND PRICE INC,12823.0,1.0,1
PROMAXIMA MANUFACTURING LTD,12813.58,7976.58,5
"SPECTRUM INDUSTRIES, INC.",12721.56,36.0,3
TRS CONTAINERS,12529.0,0.0,2
NEW RESOURCES GROUP INC,12475.0,2500.0,1
DIRECT SALES AND SERVICE,12293.5,75.0,2
ACES A/C SUPPLY INC,12223.52,6.0,5
FERGUSON ENTERPRISES INC,11949.81,162.0,13
KIMTEK CORPORATION,11900.0,5.0,3
BWI COMPANIES INC,11875.84,0.0,4
CLS Sewer Equipment Co. Inc.,11742.34,7.0,3
ALL SERVICE CONTRACTING CORP,11726.09,58.0,3
BEL USA LLC,11685.2,0.0,2
NORTH AMERICA FIRE EQUIPMENT CO INC,11679.11,0.0,2
AUSTIN ARCHITECTURAL GRAPHICS,11675.0,0.0,3
Power-Lite Industries Inc.,11610.0,9.0,1
SIRIUS COMPUTER SOLUTIONS INC,11489.16,4.0,4
PRECISION CAMERA & VIDEO,11454.82,8.0,6
HD SUPPLY UTILITIES LTD,11408.619999999999,268.0,4
PROMMEL ENTERPRISES INCORPORATED,11400.0,300.0,2
CULVER CO INC,11305.0,10000.0,2
"ADAPTIVE DIGITAL SYSTEMS, INC.",11100.0,3.0,1
BAYTECH SUPPLY INC,11085.78,3.0,3
REPUBLIC INTELLIGENT TRANSPORTATION SERVICES INC,10941.0,300.0,1
FISHER SCIENTIFIC CO L L C,10709.220000000001,31.0,18
PURCELL TIRE & RUBBER CO,10677.73,0.0,1
INDUSTRIAL DISTRIBUTION GROUP INC,10621.66,12908.0,9
Mosdorfer NA Inc.,10488.0,800.0,2
ADORAMA CAMERA INC,10412.800000000001,117.0,8
"AgileMesh, Inc.",10370.0,1.0,1
BEST BANNER SIGN GRAPHICS INC,10355.0,30.0,5
ROSEMARY GRELF,10299.45,1365.0,3
CASCO INDUSTRIES INC,10298.529999999999,4626.15,5
"All Business Machines, Inc.",10214.02,0.0,2
YOUNGBLOOD AUTO & TIRE,10183.68,0.0,1
FOX SCIENTIFIC INC,10159.789999999999,3925.55,6
GENERAL ELECTRIC COMPANY,10060.0,3.0,4
SPECTRUM POWER PRODUCTS LLC,9945.1,80.0,2
SANOFI PASTEUR INC,9914.449999999999,285.0,13
NEWBART PRODUCTS INC,9855.25,3514.0,5
"Complete Tablet Solutions, Ltd",9815.5,5.0,1
LONGHORN TROPHIES INC,9807.85,102.0,7
Custom Faberkin Inc,9592.279999999999,96.0,4
"Solid IT Networks, Inc.",9538.6,43.0,12
AEGIS FITNESS SOLUTIONS L L C,9525.3,4.0,4
ADVANCED MECHANICAL SYSTEMS INC,9507.55,2.0,2
UNITED RENTALS (NORTH AMERICA) INC,9462.32,1.0,5
HACH CO,9332.81,7721.23,6
MERCK SHARP & DOHME CORP,9043.64,0.0,4
"Lysander Supply Solutions, Inc.",9013.35,204.0,10
BEST BUY STORES L P,8982.779999999999,17.0,12
"KidZone Play, L.L.C.",8965.0,0.0,2
FASTSERV SUPPLY INC,8885.0,2400.0,3
MACWATSON ENTERPRISES INC,8852.5,58.0,8
IDENTIX INC,8785.0,1.0,1
BANE MACHINERY INC,8733.75,0.0,1
TROXELL COMMUNICATIONS INC,8668.2,15.0,5
CONSOLIDATED TRAFFIC CONTROLS,8626.08,24.0,1
ICOM AMERICA INC,8611.9,12.0,2
MATTHEW BENDER & CO INC,8610.0,300.0,1
COTHRON'S SAFE & LOCK INC,8534.51,30.0,11
SOUTH TEXAS SCHOOL FURNITURE,8444.0,0.0,1
LIBRARY STORE INC (THE),8417.33,15.0,4
HAWKINS & AFFILIATES INC,8416.0,32.0,11
"Computime 1, LLC",8390.0,10.0,1
EC America Inc,8311.0,100.0,1
APPLE INC,8299.0,14.0,9
Hesselbein Tire Southwest,8255.39,18.0,11
"Century Manufacturing Co., Inc.",8200.0,400.0,1
EWT HOLDINGS III CORP,8139.76,0.0,1
"Boxx Technologies, Inc.",8114.0,1.0,1
FAIRWAY SUPPLY INC,8108.64,110.0,16
BAYER HEALTH CARE L L C,8000.0,0.0,1
"OSI Hardware, Inc.",8000.0,0.0,1
MALDONADO NURSERY LTD,7967.0,0.0,2
"CovertTrack Group, Inc.",7900.0,12.0,4
ChemSW,7785.0,3.0,1
SOUTHERN ALUMINUM,7738.5,0.0,1
NIKE USA INC,7655.360000000001,0.0,2
LEDs Unlimited LLC,7614.0,18.0,1
PUMP MECHANICAL TECHNICAL SERVICES LLC,7512.0,0.0,1
ATLANTIC SIGNAL L L C,7465.0,71.0,4
PRIESTER-MELL & NICHOLSON INC.,7410.0,13.0,1
INTERNATIONAL BADGEWORKS INC,7406.22,2500.0,2
"Guardian Industrial Supply, LLC",7375.86,12.0,7
GLOBAL EQUIPMENT CO,7357.35,1.0,6
MARSHALL AND ASSOC INC,7327.4,10.0,1
GRAPHIC SOLUTIONS GROUP INC,7304.04,4.0,4
GLOBAL GOVERNMENT EDUCATION SOLUTION INC,7189.0,1.0,1
Gary Frank,7125.0,1500.0,1
COMMUNITY TRUCKING LLC,7120.41,137.22,5
R W GONZALEZ OFFICE PRODUCTS INC,7043.4400000000005,4.0,8
TRAFFIC PARTS INC,7037.4,1666.7,7
PS PROMOTIONS INC,7029.16,7500.0,4
"Xylem Water Solutions USA, Inc",6888.76,4.0,4
PUMPS VALVES & EQUIPMENT,6768.88,1.0,1
"SOLUTIONS4SURE.COM, INC.",6753.55,547.56,20
MARLENE MITCHELL,6749.39,0.0,1
"Ending Community Homelessness Coalition, Inc.",6690.0,9.0,3
GINNY'S COPYING SERVICE INC,6555.7,0.0,1
PRO-SERVE ENTERPRISES INC,6532.92,66.0,29
OFFICE DEPOT INC,6434.54,3867.93,7
AUSTIN RIBBON & COMPUTER,6419.67,17.0,11
"HSP Systems, Inc.",6408.76,5.0,2
TEXAS GOLF ASSN,6318.5,0.0,5
"Semler Industries, Inc.",6244.639999999999,14.0,5
"Firehouse Innovations, Corp.",6200.0,1.0,1
HAMILTON ELECTRIC WORKS INC,6188.57,3.0,5
KRATOS PUBLIC SAFETY & SECURITY SOLUTIONS INC,6161.1,6.0,1
HULL SUPPLY CO INC,6120.049999999999,18.0,13
TELOG INSTRUMENTS INC,6113.76,19.0,7
SERVICEWEAR APPAREL INC,6039.05,264.0,4
"Commercial Swim Management, LLC",6030.0,0.0,1
"Advanced Electrical and Motor Controls, INC.",6020.0,26.0,6
"Jacadis, LLC",5999.0,1.0,1
Susan Marie Steely,5997.0,30300.0,2
YOUNGBLOOD AUTOMOTIVE & TIRE LLC,5996.1,13.0,8
MARCELO'S SAND & LOAM,5988.5,0.0,1
COULTER VENTURES LLC,5961.96,18.0,4
SMITHKLINE BEECHAM CORPORATION,5961.88,407.0,12
"Fluxlight, Inc",5952.0,50.0,1
XNET SYSTEMS INC,5923.97,21.0,16
MICROMAIN CORP,5864.0,0.0,4
CT INTERCONTINENTAL LTD,5852.9,10.0,1
"CMC Government Services, Inc.",5848.25,22.0,3
AUSTIN ARMATURE WORKS LP,5844.17,2.0,2
V-QUEST OFFICE MACHINES & SUPPLIES LTD,5843.55,0.0,2
Ditto Sales Inc,5774.92,0.0,1
Nardis Inc,5763.83,182.0,6
PREFERRED SALES AGENCY LTD,5736.0,3.0,1
LAW ENFORCEMENT ASSOCIATES INC,5714.91,9.0,2
QUALITY EQUIPMENT CO,5703.54,10.0,7
"Metro Irrigation Supply Co., Ltd",5688.52,7424.0,5
"AUSTIN BARGAIN CENTERS, INC.",5580.5,0.0,1
BOUND TREE MEDICAL L L C,5570.42,274.0,7
RUSSELL W KESTER,5560.82,0.0,5
"ROTASERV, LP",5550.29,3.0,2
"Clarke Kent Plumbing, Inc.",5528.83,0.0,1
James Craig Bentley,5520.0,0.0,1
W W GRAINGER INC,5509.79,833.0,28
"NetBrain Technologies, Inc.",5500.0,51.0,2
PUMP SOLUTIONS INC,5451.5,2.0,2
"AUSTIN AD GROUP, Inc.",5447.29,0.0,1
PACIFIC CASCADE CORP,5438.0,0.0,1
POWERDMS INC,5413.5,150.0,1
"Commonwealth Trading Company, Inc.",5368.75,5.0,1
STANLEY CONVERGENT SECURITY SOLUTIONS INC,5346.0,0.0,1
CALLAWAY GOLF SALES COMPANY,5345.0,238.0,5
SYMBOLARTS L L C,5322.5,50.0,5
INGRAM LIBRARY SERVICES INC,5284.95,0.0,4
4 IMPRINT INC,5253.15,517.0,13
BRIDGESTONE GOLF INC,5204.200000000001,0.0,2
Transportation Control Systems,5192.0,4.0,1
PREMIER EMBLEM INC,5165.0,200.0,5
TECHLINE PIPE LP,5112.64,264.0,6
ROGER CLEVELAND GOLF INC,5100.88,0.0,2
MOTION INDUSTRIES INC,5088.4,10.0,1
EAR Telecommunications LLC,5051.28,0.0,1
"Rescuegear, Inc.",5026.34,0.0,7
"GitHub, Inc.",5000.0,0.0,1
TRS Inc,5000.0,0.0,1
EWING IRRIGATION PRODUCTS INC,4989.79,28.0,8
HOUMA ARMATURE WORKS - HOUSTON,4957.25,1.0,1
StarChase LLC,4950.0,10.0,1
VSA INC,4944.0,8.0,1
BEEHIVE SPECIALTY,4936.52,300.0,2
"Watthour Engineering Co., Inc.",4925.0,7.0,3
"Organization Design and Development, Inc.",4923.54,0.0,1
RADIAN RESEARCH INC,4914.0,12.0,3
Patricia K White,4901.76,24.0,4
PRINTMAILPRO.COM,4831.49,23606.0,16
ARMADA SYSTEMS INC,4790.4,0.0,1
OFFICEMAX INC,4740.65,21.0,12
HD SUPPLY FACILITIES MAINTENANCE LTD,4725.0,35.0,1
Technology Enhancement Corporation,4718.21,1.0,1
CONTROL CABLE INC,4716.0,48.0,1
MONTOPOLIS SUPPLY CO L P,4687.94,4687.94,4
"Optics Planet, Inc.",4687.5,50.0,1
SOUTHEASTERN EMERGENCY EQUIPMENT,4683.0,210.0,3
ART HALL AWARDS,4675.67,3987.17,3
MILE HIGH SHOOTING ACCESSORIES,4663.9,12.0,4
GENERAL SUPPLY & SERVICES INC,4663.03,2682.0,3
TEXAS DEPT OF CRIMINAL JUSTICE,4595.0,4.0,5
CONVERGINT TECHNOLOGIES L L C,4584.4,26.0,7
ARCHITECTURAL DIVISION 8,4558.36,288.0,3
POWER TECHTRONICS L P INC,4546.0,2.0,1
AMERICAN COLOR LABS,4515.0,22.0,4
AUTOZONE STORES INC DBA AUTOZONE INC,4502.99,206.0,41
ENERGY XTREME LLC,4475.0,0.0,1
AUSTIN RIBBON & COMPUTER SUPPLIES INC,4424.25,19.0,4
"Forensic Computers, Inc.",4400.0,2.0,1
C SPECIALTIES INC,4371.9,0.0,1
"EMERGENCY VEHICLE SUPPLY, LLC",4368.1,29.0,2
LONGHORN OFFICE PRODUCTS INC,4326.13,207.0,8
DOUGLAS D SPILLMANN,4322.98,35.0,12
AIRGAS SOUTHWEST INC,4284.03,28.0,6
Complete Premium Service Inc.,4280.0,4280.0,2
MORRISON SUPPLY CO,4272.22,0.0,3
INDEPENDENT HARDWARE INC.,4255.0,500.0,1
TENNANT SALES & SVC CO,4245.8,0.0,1
IDSC HOLDINGS LLC,4226.16,0.0,1
Anthony J Leonti,4210.0,0.0,1
ADVANCED EDUCATIONAL PRODUCTS INC,4200.0,40.0,1
Sergio Inchaurregui,4165.0,50.0,1
LARRY D. RENO,4146.8,21.0,3
NOVARTIS VACCINES & DIAGNOSTICS INC,4141.24,12.0,2
ROGER SEABROOK JONES,4127.0,0.0,1
E V SMITH SALES CO INC,4104.0,16.0,2
JEFF ELLISON,4078.5,50.0,1
"The Supply Cache, Inc.",4065.9,40.0,17
PFIZER INC,4051.65,3.0,1
KNOLL INC,4010.74,0.0,2
CANON USA INC,4003.0,1.0,1
TAYLOR MADE GOLF COMPANY INC,3999.41,0.0,1
BRYAN K. WILLIAMS,3995.0,0.0,1
MORPHOTRUST USA LLC,3995.0,5.0,5
NOVARTIS ANIMAL HEALTH US INC,3978.65,0.0,2
"Capital Precast, Inc",3957.0,2.0,2
GENERAL CHEMICAL PERFORMANCE PRODUCTS LLC,3945.41,1.0,1
SDF PROFESSIONAL COMPUTERS,3905.0,11.0,1
Imaging Spectrum Incorporated,3895.0,1.0,1
Arteche USA Inc.,3888.0,36.0,1
EVANS ENTERPRISES INC,3867.25,1.0,1
"ALMETEK INDUSTRIES, INC",3848.52,0.0,1
DOGGETT EQUIPMENT SERVICES LTD,3826.62,0.0,1
AUSTIN EMBROIDERY LP,3821.58,0.0,3
METRO FIRE APPARATUS SPECIALIST INC,3817.65,31.0,2
MRI ENTERPRISES LLC,3792.0,30.0,1
"ARC Government Solutions, Inc.",3738.1800000000003,4.0,2
VICTORY CLEANERS INC,3733.0,219.0,3
COSA INC,3712.42,6.0,6
TRAVIS TRACTOR & LAWN EQUIPMENT INC,3706.18,8.0,5
Douglas Jay Royster,3670.0,1.0,1
MICROSOFT CORP,3658.63,13.0,5
HN&P CORPORATION,3652.82,0.0,1
"Eco Promotional Products, Inc.",3589.5,1386.0,5
NEMO-Q L P,3564.0,0.0,5
NORTH AMERICAN RESCUE LLC,3530.88,1502.0,4
THOMAS REPROGRAPHICS INC,3528.0,1.0,1
CALWEN INC,3515.76,162.0,2
TRAVIS COUNTY HEALTHCARE DISTRICT,3500.0,2.0,2
"J & P Holdings, Inc.",3485.0,1.0,1
River City Sales Inc.,3480.0,40.0,1
"Fit Supply, LLC",3477.25,4.0,3
CMC STEEL FABRICATORS INC,3462.6,3462.6,5
SOUTHERN SAFETY SALES INC,3455.3199999999997,2324.8199999999997,10
PRESIDIO NETWORKED SOLUTIONS INC,3435.3,2.0,2
ALLIED ELECTRONICS INC,3434.77,80.0,11
RUSH TRUCK CENTERS OF TEXAS LP,3414.32,0.0,2
"CELLEBRITE USA, INC.",3400.0,1.0,1
"Dynamic Systems, Inc.",3400.0,4.0,1
Hospira Worldwide Inc,3395.0,70.0,2
"Phoenix Awards, LLC",3394.5,0.0,1
CUSTOM PRODUCTS CORP,3380.08,22.0,4
AVAYA INC,3377.11,7.0,7
SAM INTERNATIONAL INFORMATION TECHNOLOGY INC,3369.0,2.0,2
"TERRAZAS INVESTMENTS, LLC",3363.0,1.0,1
"Phoenix Works, LLC",3342.0,3.0,3
Action Communications Inc.,3316.5,11.0,1
Great Plains Manufacturing Inc.,3314.8,0.0,1
Lone Star Products & Equipment llc,3313.75,55.0,2
BORDER STATES ELECTRIC SUPPLY OF TEXAS INC,3312.0,144.0,1
THOMAS GRAPHICS INC,3307.35,0.0,2
"J.L. Powell & Associates, Inc.",3296.09,1.0,1
AAA FIRE & SAFETY EQUIPMENT CO INC,3282.0,19.0,2
POSITIVE PROMOTIONS INC,3251.76,0.0,4
BRISTLECONE VENTURES LLC,3250.0,1.0,1
V-QUEST OFFICE MACHINES &,3228.0,0.0,1
TRAFFICWARE LLC,3225.85,4.0,2
"Liberty Data Products, Inc.",3191.15,0.0,14
AMTEC LESS-LETHAL SYSTEMS INC,3182.0,8.0,4
SCHNEIDER ELECTRIC BUILDINGS AMERICAS INC,3168.99,300.0,2
MEMPHIS POOL SUPPLY,3150.0,0.0,1
RIVERCITY SPORTSWEAR LLC,3138.74,0.0,10
BRENNTAG SOUTHWEST INC,3129.4,2000.0,1
RUSH TRUCK CENTER - AUSTIN,3104.0,0.0,1
CENVEO CORPORATION,3097.0,0.0,4
COMPU SIGNS,3087.5,10.0,4
"Instrument Technology, Inc.",3055.0,0.0,1
CAPITOL BEARING SERVICE,3047.95,2.0,4
Compact Construction Equipment Inc,3031.16,0.0,1
EQUIPMENT DEPOT,3030.6800000000003,2.0,4
JF FILTRATION INC,3022.8,172.0,8
"Amatra Technologies, Inc",2997.0,1.0,1
MAXWELL FORD L T D,2995.25,22.0,18
"Eagle Engraving, Inc.",2994.66,0.0,2
W2 Design Build LLC,2970.0,0.0,2
Invarion Inc.,2970.0,1.0,1
CC LYNCH & ASSOC INC,2960.73,1.0,2
ARCMATE MANUFACTURING CORP,2955.0,0.0,1
IMAGING PRODUCTS INTERNATIONAL,2901.0,0.0,1
CALLAWAY GOLF,2898.65,0.0,1
DUNCAN PARKING TECHNOLOGIES INC,2885.6,0.0,2
CMS COMMUNICATIONS INC,2871.5,11.0,8
VWR INTERNATIONAL LLC,2852.73,282.96999999999997,11
"Classic Forms and Products, Inc",2849.5,0.0,2
EDUCATORS DEPOT INC.,2840.0,0.0,1
RISCO SUPPLY CO INC,2820.0,1008.0,3
"Cityzen Solutions, Inc.",2800.0,1.0,1
GOVERNMENT SCIENTIFIC SOURCE INC,2781.75,90.0,5
CITY SUPPLY CO,2775.06,12.0,4
TRANTEX TRANSPORTATION PRODUCTS OF TEXAS INC,2740.0,0.0,2
WESTCOAST ROTOR INC,2691.0,2.0,2
LTH ENTERPRISES LTD,2686.25,25.0,1
GALLS LLC,2675.0,6.0,2
APPLIED INDUSTRIAL TECHNOLOGIES,2667.7,62.0,6
"Comstar Supply, Inc.",2667.0,330.0,2
HARVEY-DACO,2666.13,0.0,2
FREEMAN DECORATING CO,2659.0,2.0,2
